Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",22/07/02,712515,1982
EBAY,eBay,Consumer Discretionary,Broadline Retail,"San Jose, California",22/07/02,1065088,1995
ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",31/01/89,31462,1923
ED,Consolidated Edison,Utilities,Multi-Utilities,"New York City, New York",04/03/57,1047862,1823
EFX,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",19/06/97,33185,1899
EG,Everest Group,Financials,Reinsurance,"Hamilton, Bermuda",19/06/17,1095073,1973
EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",04/03/57,827052,1886
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,"New York City, New York",05/01/06,1001250,1946
ELV,Elevance Health,Health Care,Managed Health Care,"Indianapolis, Indiana",25/07/02,1156039,2014 (1946)
EMN,Eastman Chemical Company,Materials,Specialty Chemicals,"Kingsport, Tennessee",01/01/94,915389,1920
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",31/03/65,32604,1890
ENPH,Enphase Energy,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",07/01/21,1463101,2006
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",02/11/00,821189,1999
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",14/12/21,1352010,1993
EQIX,Equinix,Real Estate,Data Center REITs,"Redwood City, California",20/03/15,1101239,1998
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,"Chicago, Illinois",03/12/01,906107,1969
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",03/10/22,33213,1888
ERIE,Erie Indemnity,Financials,Insurance Brokers,"Erie, Pennsylvania",23/09/24,922621,1925
ES,Eversource Energy,Utilities,Electric Utilities,"Hartford, Connecticut",24/07/09,72741,1966
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,"San Mateo, California",02/04/14,920522,1971
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",04/03/57,1551182,1911
ETR,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",04/03/57,65984,1913
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",05/06/18,1711269,1909
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",01/04/11,1099800,1958
EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",04/03/57,1109357,2000
EXPD,Expeditors International,Industrials,Air Freight & Logistics,"Seattle, Washington",10/10/07,746515,1979
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Seattle, Washington",02/10/07,1324424,1996
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,"Salt Lake City, Utah",19/01/16,1289490,1977
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",04/03/57,37996,1903
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",03/12/18,1539838,2007
